trdar_cd,trdar_cd_nm,signgu_cd,signgu_cd_nm
3110008,배화여자대학교(박노수미술관),11110,종로구
3001494,종로·청계 관광특구,11110,종로구
3130021,신설종합시장,11110,종로구
3130002,세종마을음식문화거리(금천교시장),11110,종로구
3130001,통인시장,11110,종로구
3130020,동묘시장(동묘벼룩시장),11110,종로구
3130019,동대문상가D동,11110,종로구
3130018,동대문문구완구거리(동대문문구완구시장),11110,종로구
3130017,동대문상가C동,11110,종로구
3130016,동대문상가B동,11110,종로구
3130015,창신골목시장,11110,종로구
3130014,동문시장,11110,종로구
3130013,동대문상가A동,11110,종로구
3130012,"동대문종합시장(동대문종합시장 신관, 동대문종합시장D동상가)",11110,종로구
3130011,충신시장,11110,종로구
3130010,종로신진시장,11110,종로구
3130009,마전교지하쇼핑센터(구 한일상가),11110,종로구
3130007,광장시장(광장전통시장),11110,종로구
3130005,세운상가가동,11110,종로구
3130004,낙원시장(낙원지하시장(대일상가)),11110,종로구
3120017,동묘앞역(동묘),11110,종로구
3120012,대학로(혜화역),11110,종로구
3120011,종로4가,11110,종로구
3120016,동대문역,11110,종로구
3120015,종로6가,11110,종로구
3120014,종로5가역,11110,종로구
3120013,이화사거리,11110,종로구
3120009,종로3가역,11110,종로구
3120010,원남동사거리,11110,종로구
3120008,인사동,11110,종로구
3120007,북촌(안국역),11110,종로구
3120006,종각역,11110,종로구
3120005,삼청동,11110,종로구
3120004,종로구청,11110,종로구
3120003,광화문역,11110,종로구
3120002,서촌(경복궁역),11110,종로구
3120001,서대문역,11110,종로구
3110531,홍지문,11110,종로구
3110036,동묘앞역 3번,11110,종로구
3110034,창신1동주민센터,11110,종로구
3110033,창신역 4번,11110,종로구
3110032,수족관거리,11110,종로구
3110031,창신역 1번,11110,종로구
3110030,동대문역 3번,11110,종로구
3110029,동대문역 1번,11110,종로구
3110028,이화달팽이길,11110,종로구
3110027,혜화역 1번,11110,종로구
3110026,종로5가역 4번,11110,종로구
3110025,충신시장옆,11110,종로구
3110024,혜회동주민센터,11110,종로구
3110023,서울대병원,11110,종로구
3110022,경신고등학교,11110,종로구
3110021,성균관대학교,11110,종로구
3110009,자하문터널,11110,종로구
3110010,평창동서측,11110,종로구
3110017,정독도서관,11110,종로구
3110018,중앙고등학교,11110,종로구
3110019,창덕궁,11110,종로구
3110020,서울국제고등학교,11110,종로구
3110001,이북5도청사,11110,종로구
3110002,독립문역 1번,11110,종로구
3110003,세검정초등학교,11110,종로구
3110004,대신고등학교,11110,종로구
3110035,동묘앞역 2번,11110,종로구
3110011,청운초등학교,11110,종로구
3110012,성곡미술관,11110,종로구
3110013,체부동홍종문가옥,11110,종로구
3110014,경복고등학교,11110,종로구
3110015,청와대사랑채,11110,종로구
3110016,평창동동측,11110,종로구
3110005,세검정,11110,종로구
3110006,부암동주민센터,11110,종로구
3110007,사직공원(한국사회과학도서관),11110,종로구
3110037,신설동역 12번,11110,종로구
3110038,경향신문사,11140,중구
3001493,동대문패션타운 관광특구,11140,중구
3001492,명동 남대문 북창동 다동 무교동 관광특구,11140,중구
3130048,동평화시장,11140,중구
3130047,테크노상가(엘리시움),11140,중구
3130024,남대문시장(자유상가),11140,중구
3130022,숭례문수입상가(남대문시장),11140,중구
3130035,방산종합시장(방산시장),11140,중구
3130046,team204(팀204),11140,중구
3130042,약수시장,11140,중구
3130038,"평화시장(통일상가, 동화상가)",11140,중구
3130036,중부시장(신중부시장),11140,중구
3130034,필동 골목형상점가,11140,중구
3130033,대림상가(청계상가),11140,중구
3130032,인현시장,11140,중구
3130031,청계천공구상가,11140,중구
3130025,삼익패션타운(남대문시장),11140,중구
3130052,서울중앙시장(신중앙시장),11140,중구
3130051,동화동 골목형상점가,11140,중구
3130050,청평화시장,11140,중구
3130049,신당 미래유산 먹거리 골목형상점가,11140,중구
3130055,"황학시장(서울중앙시장, 신중앙시장)",11140,중구
3130054,황학동주방가구거리상점가,11140,중구
3130053,백학시장,11140,중구
3130327,"평화시장(남평화시장, 제일평화시장, 신평화패션타운)",11140,중구
3120035,퇴계로5가,11140,중구
3120034,중구청(퇴계로4가),11140,중구
3120039,신당역,11140,중구
3120038,약수역,11140,중구
3120037,동대문역사문화공원역,11140,중구
3120036,장충동족발거리(남소영길),11140,중구
3120029,을지로2가,11140,중구
3120033,을지로4가역,11140,중구
3120032,충무로역,11140,중구
3120031,을지로3가역,11140,중구
3120030,중부경찰서(영화인의거리),11140,중구
3120028,명동(명동거리),11140,중구
3120027,명동역(명동재미로),11140,중구
3120026,을지로입구역,11140,중구
3120025,롯데백화점(시청광장 지하쇼핑센터),11140,중구
3120024,회현역,11140,중구
3120023,서울시청,11140,중구
3120022,북창동(시청역_6번),11140,중구
3120021,시청역_8번,11140,중구
3120020,시청역_1번,11140,중구
3120019,경찰청앞교차로,11140,중구
3120018,중림동,11140,중구
3120043,서울역,11140,중구
3110591,충정로역 6번,11140,중구
3110052,장충초등학교,11140,중구
3110051,한양공고앞 교차로,11140,중구
3110050,약수역 7번,11140,중구
3110056,신당역 3번,11140,중구
3110055,황학동벼룩시장,11140,중구
3110054,청구역 3번,11140,중구
3110053,청구역 1번,11140,중구
3110049,장충단 고개,11140,중구
3110048,장충동주민센터,11140,중구
3110047,다산성곽길,11140,중구
3110046,버티고개,11140,중구
3110045,동대문역사문화공원역 5번,11140,중구
3110044,관성묘,11140,중구
3110043,충무초등학교,11140,중구
3110042,남산골공원옆,11140,중구
3110041,남산케이블카,11140,중구
3110040,중구회현체육센터(정화예술대남산캠퍼스),11140,중구
3110039,회현역 1번,11140,중구
3110057,황학코아루아파트,11140,중구
3110058,성심여자고등학교,11170,용산구
3001491,이태원 관광특구,11170,용산구
3130062,보광시장,11170,용산구
3130061,이태원시장,11170,용산구
3130060,신흥시장,11170,용산구
3130059,후암시장,11170,용산구
3130058,이촌종합시장,11170,용산구
3130057,만리시장,11170,용산구
3130056,용산용문시장,11170,용산구
3120041,신용산역(용산역),11170,용산구
3120040,용산전자상가(용산역),11170,용산구
3120042,"숙대입구역(남영역, 남영동)",11170,용산구
3120047,한남오거리,11170,용산구
3120046,이태원(이태원역),11170,용산구
3120045,남영동 먹자골목,11170,용산구
3120044,삼각지역,11170,용산구
3110099,유엔빌리지길,11170,용산구
3110098,서울독일학교,11170,용산구
3110097,한남초등학교,11170,용산구
3110096,한남힐사이드아파트,11170,용산구
3110095,한강진역 3번,11170,용산구
3110094,오산중학교,11170,용산구
3110093,우사단길,11170,용산구
3110092,NH농협은행 보광동지점,11170,용산구
3110091,리움미술관,11170,용산구
3110090,한국폴리텍대학서울정수캠퍼스,11170,용산구
3110089,서빙고동주민센터,11170,용산구
3110088,오산고등학교,11170,용산구
3110087,이태원엔틱가구거리,11170,용산구
3110059,새남터성지,11170,용산구
3110079,후암동주민센터,11170,용산구
3110080,해방촌예술마을,11170,용산구
3110081,해방촌 남동측,11170,용산구
3110060,효창공원앞역 6번,11170,용산구
3110061,효창동주민센터,11170,용산구
3110062,한강로동땡땡거리(은행나무길),11170,용산구
3110063,효창공원앞역 5번,11170,용산구
3110064,효창공원앞역 2번,11170,용산구
3110082,용산구청,11170,용산구
3110083,서빙고역 1번,11170,용산구
3110084,경리단길북측,11170,용산구
3110085,경리단길남측,11170,용산구
3110086,이태원역 북측,11170,용산구
3110065,남정초등학교,11170,용산구
3110066,서울역 15번,11170,용산구
3110067,배문고등학교,11170,용산구
3110068,남영역 1번,11170,용산구
3110069,숙대입구,11170,용산구
3110070,용산세무서,11170,용산구
3110071,한강미주맨션아파트,11170,용산구
3110072,열정도,11170,용산구
3110073,삼각지역 3번,11170,용산구
3110074,서울역 12번,11170,용산구
3110075,숙대입구역 1번,11170,용산구
3110076,삼각지역 14번,11170,용산구
3110077,삼광초등학교,11170,용산구
3110078,이촌동점보아파트,11170,용산구
3110110,상왕십리역 6번,11200,성동구
3130073,뚝도시장,11200,성동구
3130072,성동용답상가시장,11200,성동구
3130071,성수역 골목형상점가,11200,성동구
3130069,"한양대앞상점가(한양시장, 왕십리맛골목)",11200,성동구
3130068,마장축산물시장,11200,성동구
3130070,뚝섬역상점가,11200,성동구
3130067,왕십리도선동상점가,11200,성동구
3130066,행당시장상점가,11200,성동구
3130065,무학봉상점가,11200,성동구
3130064,금남시장,11200,성동구
3130063,신금호역 골목형상점가,11200,성동구
3120052,성수역,11200,성동구
3120051,뚝섬역,11200,성동구
3120050,서울숲역,11200,성동구
3120049,왕십리역(왕십리),11200,성동구
3120048,금호역,11200,성동구
3110138,송정체육공원,11200,성동구
3110137,성수초등학교,11200,성동구
3110111,대현산장미원,11200,성동구
3110100,옥수동우편취급국,11200,성동구
3110101,옥정중학교,11200,성동구
3110102,옥수역 6번,11200,성동구
3110103,옥수터널,11200,성동구
3110104,신금호역 4번,11200,성동구
3110108,성동구립금호도서관,11200,성동구
3110109,금호삼성래미안아파트,11200,성동구
3110129,성원어린이공원,11200,성동구
3110130,답십리역 6번,11200,성동구
3110131,성수동카페거리,11200,성동구
3110132,성수2가3동주민센터,11200,성동구
3110136,경수초등학교,11200,성동구
3110105,금동어린이공원,11200,성동구
3110106,금북초등학교,11200,성동구
3110107,금호사거리,11200,성동구
3110112,행당역 2번,11200,성동구
3110113,응봉산,11200,성동구
3110114,왕십리파출소,11200,성동구
3110133,서울교통공사,11200,성동구
3110134,성수119안전센터,11200,성동구
3110135,성동세무서,11200,성동구
3110115,상왕십리역 3번,11200,성동구
3110116,청계천박물관,11200,성동구
3110117,성동구보건소,11200,성동구
3110118,왕십리역 9번,11200,성동구
3110119,마장지하차도,11200,성동구
3110120,서울숲카페거리,11200,성동구
3110121,한양대역 4번,11200,성동구
3110122,마장역 2번,11200,성동구
3110123,마장역 3번,11200,성동구
3110124,뚝섬역교차로,11200,성동구
3110125,사근동살곶이상점가,11200,성동구
3110126,서울숲역 1번,11200,성동구
3110127,성수1가1동주민센터,11200,성동구
3110128,성원중학교,11200,성동구
3110157,자양동우체국,11215,광진구
3130076,능동로골목시장,11215,광진구
3130075,노룬산시장(노룬산골목시장),11215,광진구
3130074,영동교골목시장,11215,광진구
3130084,신성시장(신성골목시장),11215,광진구
3130083,"중곡제일시장(중곡제일골목시장, 광성시장)",11215,광진구
3130082,면곡골목시장,11215,광진구
3130081,자양골목전통시장(자양골목시장),11215,광진구
3130080,자양종합시장(기능상실),11215,광진구
3130079,한아름시장,11215,광진구
3130078,화양제일골목시장,11215,광진구
3130077,조양시장,11215,광진구
3120061,올림픽대교북단,11215,광진구
3120060,강변역(테크노마트),11215,광진구
3120059,구삼강변맛길,11215,광진구
3120058,구의사거리,11215,광진구
3120057,아차산역,11215,광진구
3120056,구의역,11215,광진구
3120055,군자역,11215,광진구
3120054,어린이대공원역,11215,광진구
3120053,건대입구역(건대),11215,광진구
3110158,중곡3동주민센터,11215,광진구
3110159,구의역 4번,11215,광진구
3110160,광진경찰서,11215,광진구
3110139,자양4동주민센터,11215,광진구
3110140,건대입구역 6번,11215,광진구
3110141,건대입구역 1번,11215,광진구
3110142,화양사거리,11215,광진구
3110144,어린이대공원역 4번,11215,광진구
3110145,장안초등학교,11215,광진구
3110146,신자초등학교,11215,광진구
3110147,능동우편취급국,11215,광진구
3110148,어린이대공원역 3번,11215,광진구
3110149,세종대학교,11215,광진구
3110150,중곡1동 마을마당,11215,광진구
3110151,자양한강도서관,11215,광진구
3110152,중곡어린이공원,11215,광진구
